payment_method_type,country,rebill_period_in_months,firstSub,observation_date,age,all_time_views,last_month_views,next_month_views,is_cancelled
PAYPAL,aus,1,1.0,2018-02-01,73,13,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,948,170,,,true
PAYPAL,usa,1,1.0,2018-05-01,848,7,,,true
SAGEPAY,aus,1,1.0,2018-05-01,847,521,,,true
PAYPAL,sgp,1,,2018-05-01,843,281,,,true
SAGEPAY,usa,1,1.0,2018-05-01,839,204,,,false
SAGEPAY,usa,1,1.0,2018-05-01,829,61,,,true
PAYPAL,kor,1,1.0,2018-05-01,814,134,,,true
PAYPAL,usa,1,1.0,2018-05-01,763,31,,,true
SAGEPAY,usa,1,1.0,2018-05-01,648,57,,,true
SAGEPAY,tur,1,1.0,2018-05-01,618,13,,,false
SAGEPAY,usa,1,1.0,2018-05-01,601,174,,,true
SAGEPAY,srb,1,1.0,2018-05-01,591,7,,,true
SAGEPAY,usa,1,1.0,2018-05-01,559,51,,,true
SAGEPAY,bel,1,,2018-05-01,544,45,,,false
SAGEPAY,usa,1,,2018-05-01,524,30,,,false
PAYPAL,dnk,1,1.0,2018-05-01,521,13,,,true
PAYPAL,usa,1,,2018-05-01,516,72,,,true
SAGEPAY,usa,12,,2018-05-01,405,74,,,false
SAGEPAY,usa,6,,2018-05-01,364,180,,,true
PAYPAL,aus,1,1.0,2018-05-01,162,13,,,true
SAGEPAY,gbr,1,1.0,2018-06-01,979,170,,,true
PAYPAL,usa,1,1.0,2018-06-01,879,7,,,true
SAGEPAY,aus,1,1.0,2018-06-01,878,521,,,true
PAYPAL,sgp,1,,2018-06-01,874,281,,,true
SAGEPAY,usa,1,1.0,2018-06-01,870,204,,,false
SAGEPAY,usa,1,1.0,2018-06-01,860,61,,,true
PAYPAL,kor,1,1.0,2018-06-01,845,134,,,true
PAYPAL,usa,1,1.0,2018-06-01,794,31,,,true
SAGEPAY,usa,1,1.0,2018-06-01,679,57,,,true
SAGEPAY,tur,1,1.0,2018-06-01,649,13,,,false
SAGEPAY,usa,1,1.0,2018-06-01,632,174,,,true
SAGEPAY,srb,1,1.0,2018-06-01,622,7,,,true
SAGEPAY,usa,1,1.0,2018-06-01,590,51,,,true
SAGEPAY,bel,1,,2018-06-01,575,45,,,false
SAGEPAY,usa,1,,2018-06-01,555,30,,,false
PAYPAL,dnk,1,1.0,2018-06-01,552,13,,,true
PAYPAL,usa,1,,2018-06-01,547,72,,,true
SAGEPAY,usa,12,,2018-06-01,436,74,,,false
SAGEPAY,usa,6,,2018-06-01,395,180,,,true
PAYPAL,aus,1,1.0,2018-06-01,193,13,,,true
SAGEPAY,usa,1,1.0,2018-02-01,922,28,,,true
SAGEPAY,can,1,1.0,2018-02-01,895,7,,,true
SAGEPAY,ind,1,1.0,2018-02-01,736,372,1,1,true
SAGEPAY,usa,1,1.0,2018-02-01,707,14,,,true
SAGEPAY,ind,1,1.0,2018-02-01,683,62,,,true
SAGEPAY,ind,1,1.0,2018-02-01,616,18,,,true
SAGEPAY,usa,1,1.0,2018-02-01,615,150,,,true
SAGEPAY,usa,1,1.0,2018-02-01,594,61,,,true
SAGEPAY,usa,1,1.0,2018-02-01,544,120,,,true
SAGEPAY,ind,1,1.0,2018-02-01,533,496,,,true
SAGEPAY,usa,1,1.0,2018-02-01,527,52,,,true
SAGEPAY,vnm,1,1.0,2018-02-01,469,21,,,false
SAGEPAY,can,1,1.0,2018-02-01,460,18,,,true
SAGEPAY,usa,6,1.0,2018-02-01,357,108,,,true
SAGEPAY,sau,12,1.0,2018-02-01,342,34,,,false
SAGEPAY,usa,1,,2018-02-01,255,175,,,false
SAGEPAY,ind,1,1.0,2018-02-01,197,605,179,77,false
SAGEPAY,ind,6,,2018-02-01,111,288,8,13,false
SAGEPAY,usa,1,1.0,2018-03-01,950,28,,,true
SAGEPAY,can,1,1.0,2018-03-01,923,7,,,true
SAGEPAY,ind,1,1.0,2018-03-01,764,373,1,4,true
SAGEPAY,usa,1,1.0,2018-03-01,735,14,,,true
SAGEPAY,ind,1,1.0,2018-03-01,711,62,,,true
SAGEPAY,ind,1,1.0,2018-03-01,644,18,,,true
SAGEPAY,usa,1,1.0,2018-03-01,643,150,,,true
SAGEPAY,usa,1,1.0,2018-03-01,622,61,,,true
SAGEPAY,usa,1,1.0,2018-03-01,572,120,,,true
SAGEPAY,ind,1,1.0,2018-03-01,561,496,,,true
SAGEPAY,usa,1,1.0,2018-03-01,555,52,,,true
SAGEPAY,vnm,1,1.0,2018-03-01,497,21,,,false
SAGEPAY,can,1,1.0,2018-03-01,488,18,,,true
SAGEPAY,usa,6,1.0,2018-03-01,385,108,,,true
SAGEPAY,sau,12,1.0,2018-03-01,370,34,,,false
SAGEPAY,usa,1,,2018-03-01,283,175,,,false
SAGEPAY,ind,1,1.0,2018-03-01,225,690,77,,false
SAGEPAY,ind,6,,2018-03-01,139,301,13,4,false
SAGEPAY,usa,1,1.0,2018-03-01,927,70,,,false
PAYPAL,usa,1,1.0,2018-03-01,886,63,,1,false
SAGEPAY,usa,1,1.0,2018-03-01,883,14,,,true
SAGEPAY,usa,1,1.0,2018-03-01,758,88,,,true
SAGEPAY,usa,1,,2018-03-01,757,18,,,false
SAGEPAY,can,1,1.0,2018-03-01,748,434,,,true
SAGEPAY,gbr,1,1.0,2018-03-01,731,1,,,true
SAGEPAY,irl,1,1.0,2018-03-01,632,388,,,true
SAGEPAY,usa,1,1.0,2018-03-01,602,61,28,5,false
SAGEPAY,aus,1,1.0,2018-03-01,595,6,,,false
SAGEPAY,usa,1,1.0,2018-03-01,493,21,,,true
PAYPAL,sgp,1,1.0,2018-03-01,407,541,,,true
SAGEPAY,usa,6,,2018-03-01,365,577,23,7,false
SAGEPAY,ind,1,1.0,2018-03-01,342,425,,,true
SAGEPAY,usa,12,,2018-03-01,185,72,,,false
SAGEPAY,gbr,6,1.0,2018-03-01,161,10,,,false
SAGEPAY,rou,1,1.0,2018-03-01,142,244,,,true
SAGEPAY,usa,6,1.0,2018-03-01,79,79,33,86,false
SAGEPAY,usa,1,1.0,2018-06-01,1019,70,,,false
PAYPAL,usa,1,1.0,2018-06-01,978,64,,,true
SAGEPAY,usa,1,1.0,2018-06-01,975,14,,,true
SAGEPAY,usa,1,1.0,2018-06-01,850,88,,,true
SAGEPAY,usa,1,,2018-06-01,849,18,,,false
SAGEPAY,can,1,1.0,2018-06-01,839,434,,,true
SAGEPAY,gbr,1,1.0,2018-06-01,823,1,,,true
SAGEPAY,irl,1,1.0,2018-06-01,724,590,202,102,true
SAGEPAY,usa,1,1.0,2018-06-01,694,66,,,false
SAGEPAY,aus,1,1.0,2018-06-01,687,6,,,false
SAGEPAY,usa,1,1.0,2018-06-01,585,21,,,true
PAYPAL,sgp,1,1.0,2018-06-01,499,541,,,true
SAGEPAY,usa,6,,2018-06-01,457,589,,2,false
SAGEPAY,ind,1,1.0,2018-06-01,434,425,,,true
SAGEPAY,usa,12,,2018-06-01,277,72,,,false
SAGEPAY,gbr,6,1.0,2018-06-01,253,10,,,true
SAGEPAY,rou,1,1.0,2018-06-01,234,244,,,true
SAGEPAY,usa,6,1.0,2018-06-01,171,266,65,4,false
SAGEPAY,usa,1,1.0,2018-02-01,899,70,,,false
PAYPAL,usa,1,1.0,2018-02-01,858,63,,,false
SAGEPAY,usa,1,1.0,2018-02-01,855,14,,,true
SAGEPAY,usa,1,1.0,2018-02-01,730,88,,,true
SAGEPAY,usa,1,,2018-02-01,729,18,,,false
SAGEPAY,can,1,1.0,2018-02-01,720,434,,,true
SAGEPAY,gbr,1,1.0,2018-02-01,703,1,,,true
SAGEPAY,irl,1,1.0,2018-02-01,604,388,,,true
SAGEPAY,usa,1,1.0,2018-02-01,574,33,,28,false
SAGEPAY,aus,1,1.0,2018-02-01,567,6,,,false
SAGEPAY,usa,1,1.0,2018-02-01,465,21,,,true
PAYPAL,sgp,1,1.0,2018-02-01,379,541,,,true
SAGEPAY,usa,6,,2018-02-01,337,554,24,23,false
SAGEPAY,ind,1,1.0,2018-02-01,314,425,,,true
SAGEPAY,usa,12,,2018-02-01,157,72,,,false
SAGEPAY,gbr,6,1.0,2018-02-01,133,10,,,false
SAGEPAY,rou,1,1.0,2018-02-01,114,244,,,true
SAGEPAY,usa,6,1.0,2018-02-01,51,43,25,33,false
SAGEPAY,usa,1,1.0,2018-04-01,958,70,,,false
PAYPAL,usa,1,1.0,2018-04-01,917,64,1,,false
SAGEPAY,usa,1,1.0,2018-04-01,914,14,,,true
SAGEPAY,usa,1,1.0,2018-04-01,789,88,,,true
SAGEPAY,usa,1,,2018-04-01,788,18,,,false
SAGEPAY,can,1,1.0,2018-04-01,778,434,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,762,1,,,true
SAGEPAY,irl,1,1.0,2018-04-01,663,388,,,true
SAGEPAY,usa,1,1.0,2018-04-01,633,66,5,,false
SAGEPAY,aus,1,1.0,2018-04-01,626,6,,,false
SAGEPAY,usa,1,1.0,2018-04-01,524,21,,,true
PAYPAL,sgp,1,1.0,2018-04-01,438,541,,,true
SAGEPAY,usa,6,,2018-04-01,396,584,7,5,false
SAGEPAY,ind,1,1.0,2018-04-01,373,425,,,true
SAGEPAY,usa,12,,2018-04-01,216,72,,,false
SAGEPAY,gbr,6,1.0,2018-04-01,192,10,,,true
SAGEPAY,rou,1,1.0,2018-04-01,173,244,,,true
SAGEPAY,usa,6,1.0,2018-04-01,110,165,86,36,false
SAGEPAY,usa,1,1.0,2018-06-01,1042,28,,,true
SAGEPAY,can,1,1.0,2018-06-01,1015,7,,,true
SAGEPAY,ind,1,1.0,2018-06-01,856,377,,,true
SAGEPAY,usa,1,1.0,2018-06-01,827,14,,,true
SAGEPAY,ind,1,1.0,2018-06-01,803,62,,,true
SAGEPAY,ind,1,1.0,2018-06-01,736,18,,,true
SAGEPAY,usa,1,1.0,2018-06-01,735,150,,,true
SAGEPAY,usa,1,1.0,2018-06-01,714,61,,,true
SAGEPAY,usa,1,1.0,2018-06-01,664,120,,,true
SAGEPAY,ind,1,1.0,2018-06-01,653,496,,,true
SAGEPAY,usa,1,1.0,2018-06-01,647,52,,,true
SAGEPAY,vnm,1,1.0,2018-06-01,589,21,,,false
SAGEPAY,can,1,1.0,2018-06-01,580,18,,,true
SAGEPAY,usa,6,1.0,2018-06-01,476,108,,,true
SAGEPAY,sau,12,1.0,2018-06-01,462,34,,,false
SAGEPAY,usa,1,,2018-06-01,375,175,,,false
SAGEPAY,ind,1,1.0,2018-06-01,317,690,,1,false
SAGEPAY,ind,6,,2018-06-01,231,309,,7,false
SAGEPAY,usa,1,1.0,2018-04-01,981,28,,,true
SAGEPAY,can,1,1.0,2018-04-01,954,7,,,true
SAGEPAY,ind,1,1.0,2018-04-01,795,377,4,,true
SAGEPAY,usa,1,1.0,2018-04-01,766,14,,,true
SAGEPAY,ind,1,1.0,2018-04-01,742,62,,,true
SAGEPAY,ind,1,1.0,2018-04-01,675,18,,,true
SAGEPAY,usa,1,1.0,2018-04-01,674,150,,,true
SAGEPAY,usa,1,1.0,2018-04-01,653,61,,,true
SAGEPAY,usa,1,1.0,2018-04-01,603,120,,,true
SAGEPAY,ind,1,1.0,2018-04-01,592,496,,,true
SAGEPAY,usa,1,1.0,2018-04-01,586,52,,,true
SAGEPAY,vnm,1,1.0,2018-04-01,528,21,,,false
SAGEPAY,can,1,1.0,2018-04-01,519,18,,,true
SAGEPAY,usa,6,1.0,2018-04-01,415,108,,,true
SAGEPAY,sau,12,1.0,2018-04-01,401,34,,,false
SAGEPAY,usa,1,,2018-04-01,314,175,,,false
SAGEPAY,ind,1,1.0,2018-04-01,256,690,,,false
SAGEPAY,ind,6,,2018-04-01,170,305,4,4,false
SAGEPAY,usa,1,1.0,2018-05-01,988,70,,,false
PAYPAL,usa,1,1.0,2018-05-01,947,64,,,true
SAGEPAY,usa,1,1.0,2018-05-01,944,14,,,true
SAGEPAY,usa,1,1.0,2018-05-01,819,88,,,true
SAGEPAY,usa,1,,2018-05-01,818,18,,,false
SAGEPAY,can,1,1.0,2018-05-01,808,434,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,792,1,,,true
SAGEPAY,irl,1,1.0,2018-05-01,693,388,,202,true
SAGEPAY,usa,1,1.0,2018-05-01,663,66,,,false
SAGEPAY,aus,1,1.0,2018-05-01,656,6,,,false
SAGEPAY,usa,1,1.0,2018-05-01,554,21,,,true
PAYPAL,sgp,1,1.0,2018-05-01,468,541,,,true
SAGEPAY,usa,6,,2018-05-01,426,589,5,,false
SAGEPAY,ind,1,1.0,2018-05-01,403,425,,,true
SAGEPAY,usa,12,,2018-05-01,246,72,,,false
SAGEPAY,gbr,6,1.0,2018-05-01,222,10,,,true
SAGEPAY,rou,1,1.0,2018-05-01,203,244,,,true
SAGEPAY,usa,6,1.0,2018-05-01,140,201,36,65,false
SAGEPAY,usa,1,1.0,2018-05-01,1011,28,,,true
SAGEPAY,can,1,1.0,2018-05-01,984,7,,,true
SAGEPAY,ind,1,1.0,2018-05-01,825,377,,,true
SAGEPAY,usa,1,1.0,2018-05-01,796,14,,,true
SAGEPAY,ind,1,1.0,2018-05-01,772,62,,,true
SAGEPAY,ind,1,1.0,2018-05-01,705,18,,,true
SAGEPAY,usa,1,1.0,2018-05-01,704,150,,,true
SAGEPAY,usa,1,1.0,2018-05-01,683,61,,,true
SAGEPAY,usa,1,1.0,2018-05-01,633,120,,,true
SAGEPAY,ind,1,1.0,2018-05-01,622,496,,,true
SAGEPAY,usa,1,1.0,2018-05-01,616,52,,,true
SAGEPAY,vnm,1,1.0,2018-05-01,558,21,,,false
SAGEPAY,can,1,1.0,2018-05-01,549,18,,,true
SAGEPAY,usa,6,1.0,2018-05-01,445,108,,,true
SAGEPAY,sau,12,1.0,2018-05-01,431,34,,,false
SAGEPAY,usa,1,,2018-05-01,344,175,,,false
SAGEPAY,ind,1,1.0,2018-05-01,286,690,,,false
SAGEPAY,ind,6,,2018-05-01,200,309,4,,false
SAGEPAY,deu,1,1.0,2018-06-01,1046,78,,,false
SAGEPAY,usa,1,1.0,2018-06-01,1030,733,,,false
SAGEPAY,bel,1,,2018-06-01,997,131,,,false
SAGEPAY,ind,1,1.0,2018-06-01,852,194,,,true
PAYPAL,aus,1,1.0,2018-06-01,807,122,61,,true
SAGEPAY,usa,1,,2018-06-01,807,380,,,true
SAGEPAY,ind,1,1.0,2018-06-01,720,8,,,false
SAGEPAY,rus,1,1.0,2018-06-01,664,7,,,true
SAGEPAY,ind,6,,2018-06-01,521,510,,36,true
SAGEPAY,gbr,6,1.0,2018-06-01,511,86,,4,false
PAYPAL,chl,1,1.0,2018-06-01,418,1766,459,,true
SAGEPAY,gbr,1,1.0,2018-06-01,338,269,,,true
SAGEPAY,isr,1,1.0,2018-06-01,331,170,,,true
SAGEPAY,hun,1,1.0,2018-06-01,282,613,,,true
SAGEPAY,bel,12,,2018-06-01,250,216,,,false
SAGEPAY,usa,12,,2018-06-01,186,102,,,false
SAGEPAY,gbr,1,1.0,2018-06-01,143,7,,,true
SAGEPAY,deu,1,1.0,2018-05-01,1015,78,,,false
SAGEPAY,usa,1,1.0,2018-05-01,999,733,,,false
SAGEPAY,bel,1,,2018-05-01,966,131,,,false
SAGEPAY,ind,1,1.0,2018-05-01,821,194,,,true
PAYPAL,aus,1,1.0,2018-05-01,776,61,,61,true
SAGEPAY,usa,1,,2018-05-01,776,380,,,true
SAGEPAY,ind,1,1.0,2018-05-01,689,8,,,false
SAGEPAY,rus,1,1.0,2018-05-01,633,7,,,true
SAGEPAY,ind,6,,2018-05-01,490,510,,,true
SAGEPAY,gbr,6,1.0,2018-05-01,480,86,,,false
PAYPAL,chl,1,1.0,2018-05-01,387,1247,537,459,true
SAGEPAY,gbr,1,1.0,2018-05-01,307,269,,,true
SAGEPAY,isr,1,1.0,2018-05-01,300,170,,,true
SAGEPAY,hun,1,1.0,2018-05-01,251,613,,,true
SAGEPAY,bel,12,,2018-05-01,219,216,9,,false
SAGEPAY,usa,12,,2018-05-01,155,102,,,false
SAGEPAY,gbr,1,1.0,2018-05-01,112,7,,,true
SAGEPAY,deu,1,1.0,2018-02-01,926,74,,4,false
SAGEPAY,usa,1,1.0,2018-02-01,910,733,,,false
SAGEPAY,bel,1,,2018-02-01,877,131,,,false
SAGEPAY,ind,1,1.0,2018-02-01,732,194,,,true
PAYPAL,aus,1,1.0,2018-02-01,687,60,3,1,true
SAGEPAY,usa,1,,2018-02-01,687,380,,,true
SAGEPAY,ind,1,1.0,2018-02-01,600,8,,,false
SAGEPAY,rus,1,1.0,2018-02-01,544,7,,,true
SAGEPAY,ind,6,,2018-02-01,401,510,,,true
SAGEPAY,gbr,6,1.0,2018-02-01,391,80,12,6,false
PAYPAL,chl,1,1.0,2018-02-01,298,770,16,,true
SAGEPAY,gbr,1,1.0,2018-02-01,218,269,,,true
SAGEPAY,isr,1,1.0,2018-02-01,211,170,,,true
SAGEPAY,hun,1,1.0,2018-02-01,162,613,,,true
SAGEPAY,bel,12,,2018-02-01,130,181,,2,false
SAGEPAY,usa,12,,2018-02-01,66,102,,,false
SAGEPAY,gbr,1,1.0,2018-02-01,23,7,7,,false
SAGEPAY,deu,1,1.0,2018-04-01,985,78,,,false
SAGEPAY,usa,1,1.0,2018-04-01,969,733,,,false
SAGEPAY,bel,1,,2018-04-01,936,131,,,false
SAGEPAY,ind,1,1.0,2018-04-01,791,194,,,true
PAYPAL,aus,1,1.0,2018-04-01,746,61,,,true
SAGEPAY,usa,1,,2018-04-01,746,380,,,true
SAGEPAY,ind,1,1.0,2018-04-01,659,8,,,false
SAGEPAY,rus,1,1.0,2018-04-01,603,7,,,true
SAGEPAY,ind,6,,2018-04-01,460,510,,,true
SAGEPAY,gbr,6,1.0,2018-04-01,450,86,,,false
PAYPAL,chl,1,1.0,2018-04-01,357,770,,537,true
SAGEPAY,gbr,1,1.0,2018-04-01,277,269,,,true
SAGEPAY,isr,1,1.0,2018-04-01,270,170,,,true
SAGEPAY,hun,1,1.0,2018-04-01,221,613,,,true
SAGEPAY,bel,12,,2018-04-01,189,207,24,9,false
SAGEPAY,usa,12,,2018-04-01,125,102,,,false
SAGEPAY,gbr,1,1.0,2018-04-01,82,7,,,true
SAGEPAY,deu,1,1.0,2018-03-01,954,78,4,,false
SAGEPAY,usa,1,1.0,2018-03-01,938,733,,,false
SAGEPAY,bel,1,,2018-03-01,905,131,,,false
SAGEPAY,ind,1,1.0,2018-03-01,760,194,,,true
PAYPAL,aus,1,1.0,2018-03-01,715,61,1,,true
SAGEPAY,usa,1,,2018-03-01,715,380,,,true
SAGEPAY,ind,1,1.0,2018-03-01,628,8,,,false
SAGEPAY,rus,1,1.0,2018-03-01,572,7,,,true
SAGEPAY,ind,6,,2018-03-01,429,510,,,true
SAGEPAY,gbr,6,1.0,2018-03-01,419,86,6,,false
PAYPAL,chl,1,1.0,2018-03-01,326,770,,,true
SAGEPAY,gbr,1,1.0,2018-03-01,246,269,,,true
SAGEPAY,isr,1,1.0,2018-03-01,239,170,,,true
SAGEPAY,hun,1,1.0,2018-03-01,190,613,,,true
SAGEPAY,bel,12,,2018-03-01,158,181,2,24,false
SAGEPAY,usa,12,,2018-03-01,94,102,,,false
SAGEPAY,gbr,1,1.0,2018-03-01,51,7,,,true
SAGEPAY,mex,1,1.0,2018-02-01,903,287,,,true
SAGEPAY,usa,1,1.0,2018-02-01,837,41,,,false
SAGEPAY,gbr,1,,2018-02-01,819,87,,,true
PAYPAL,esp,1,1.0,2018-02-01,814,175,,,true
PAYPAL,usa,1,1.0,2018-02-01,782,156,36,7,true
SAGEPAY,usa,1,1.0,2018-02-01,744,112,,,true
PAYPAL,rus,1,1.0,2018-02-01,680,436,,,true
SAGEPAY,pol,1,1.0,2018-02-01,676,246,,,false
SAGEPAY,srb,1,1.0,2018-02-01,641,238,,,true
SAGEPAY,aus,1,1.0,2018-02-01,615,36,,,true
SAGEPAY,srb,1,,2018-02-01,555,238,,,true
SAGEPAY,usa,1,1.0,2018-02-01,513,5,,,true
SAGEPAY,fra,1,1.0,2018-02-01,348,29,,,false
SAGEPAY,usa,1,,2018-02-01,163,376,9,,false
SAGEPAY,usa,6,,2018-02-01,155,71,14,49,false
SAGEPAY,usa,6,1.0,2018-02-01,114,128,,,false
SAGEPAY,mex,1,1.0,2018-03-01,931,287,,,true
SAGEPAY,usa,1,1.0,2018-03-01,865,41,,,false
SAGEPAY,gbr,1,,2018-03-01,847,87,,,true
PAYPAL,esp,1,1.0,2018-03-01,842,175,,,true
PAYPAL,usa,1,1.0,2018-03-01,810,163,7,,true
SAGEPAY,usa,1,1.0,2018-03-01,772,112,,,true
PAYPAL,rus,1,1.0,2018-03-01,708,436,,,true
SAGEPAY,pol,1,1.0,2018-03-01,704,246,,,false
SAGEPAY,srb,1,1.0,2018-03-01,669,238,,,true
SAGEPAY,aus,1,1.0,2018-03-01,643,36,,,true
SAGEPAY,srb,1,,2018-03-01,583,238,,,true
SAGEPAY,usa,1,1.0,2018-03-01,541,5,,,true
SAGEPAY,fra,1,1.0,2018-03-01,376,29,,,false
SAGEPAY,usa,1,,2018-03-01,191,376,,,true
SAGEPAY,usa,6,,2018-03-01,183,120,49,128,false
SAGEPAY,usa,6,1.0,2018-03-01,142,128,,,false
SAGEPAY,mex,1,1.0,2018-04-01,962,287,,,true
SAGEPAY,usa,1,1.0,2018-04-01,896,41,,,false
SAGEPAY,gbr,1,,2018-04-01,878,87,,,true
PAYPAL,esp,1,1.0,2018-04-01,873,175,,,true
PAYPAL,usa,1,1.0,2018-04-01,841,163,,,true
SAGEPAY,usa,1,1.0,2018-04-01,803,112,,,true
PAYPAL,rus,1,1.0,2018-04-01,739,436,,,true
SAGEPAY,pol,1,1.0,2018-04-01,735,246,,,false
SAGEPAY,srb,1,1.0,2018-04-01,700,238,,,true
SAGEPAY,aus,1,1.0,2018-04-01,673,36,,,true
SAGEPAY,srb,1,,2018-04-01,614,238,,,true
SAGEPAY,usa,1,1.0,2018-04-01,572,5,,,true
SAGEPAY,fra,1,1.0,2018-04-01,407,29,,,false
SAGEPAY,usa,1,,2018-04-01,222,376,,,true
SAGEPAY,usa,6,,2018-04-01,213,244,128,14,false
SAGEPAY,usa,6,1.0,2018-04-01,173,128,,,false
OFFLINE,grc,1,1.0,2018-05-01,1000,53,,,true
SAGEPAY,usa,1,1.0,2018-05-01,983,232,,,true
PAYPAL,ita,1,,2018-05-01,943,640,17,16,true
PAYPAL,tur,1,1.0,2018-05-01,897,410,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,778,408,,,true
SAGEPAY,usa,12,1.0,2018-05-01,748,114,,,true
SAGEPAY,usa,1,1.0,2018-05-01,704,75,,,true
SAGEPAY,usa,1,1.0,2018-05-01,669,5,,,true
SAGEPAY,usa,1,1.0,2018-05-01,652,33,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,650,36,,,true
PAYPAL,mex,1,1.0,2018-05-01,641,47,,,true
SAGEPAY,mex,1,1.0,2018-05-01,588,25,,,true
PAYPAL,usa,1,1.0,2018-05-01,586,27,,,true
SAGEPAY,usa,1,1.0,2018-05-01,577,50,,,true
SAGEPAY,usa,1,1.0,2018-05-01,536,5,,,true
SAGEPAY,rus,6,1.0,2018-05-01,252,22,,,true
SAGEPAY,mex,1,1.0,2018-05-01,992,287,,,true
SAGEPAY,usa,1,1.0,2018-05-01,926,41,,,false
SAGEPAY,gbr,1,,2018-05-01,908,87,,,true
PAYPAL,esp,1,1.0,2018-05-01,903,175,,,true
PAYPAL,usa,1,1.0,2018-05-01,871,163,,,true
SAGEPAY,usa,1,1.0,2018-05-01,833,112,,,true
PAYPAL,rus,1,1.0,2018-05-01,769,436,,,true
SAGEPAY,pol,1,1.0,2018-05-01,765,246,,,false
SAGEPAY,srb,1,1.0,2018-05-01,730,238,,,true
SAGEPAY,aus,1,1.0,2018-05-01,703,36,,,true
SAGEPAY,srb,1,,2018-05-01,644,238,,,true
