country,rebill_period,payments_made,chapter_access_count,seconds_watched
SE,6,1,2,9372
RS,1,1,4,8654
US,1,0,6,4454
ES,1,0,7,4701
US,1,0,3,709
AU,1,0,11,5470
US,1,0,10,2903
US,1,5,1,2193
RS,1,0,4,3063
GB,6,1,1,2530
MA,1,0,7,5903
US,1,0,11,6826
US,1,0,0,0
IN,1,0,8,1134
IN,1,0,1,608
CH,6,5,15,66210
US,6,3,3,4483
US,1,2,1,7783
IN,6,2,2,8619
UA,1,0,10,7859
US,1,0,6,2974
BI,1,3,9,3657
UA,1,0,6,9426
UA,1,0,10,1011
UA,1,0,7,9752
UA,1,0,8,4677
US,1,0,12,1939
MM,6,2,24,1338
US,1,0,7,1036
UNKNOWN,1,2,12,2391
UNKNOWN,1,0,0,0
UNKNOWN,1,0,6,181
UNKNOWN,1,0,7,8962
UNKNOWN,1,0,12,4004
UNKNOWN,1,0,6,1215
UNKNOWN,1,2,8,7419
UNKNOWN,1,0,9,4320
UNKNOWN,1,0,10,2762
UNKNOWN,6,3,3,2421
UNKNOWN,6,2,3,477
UNKNOWN,1,2,13,6437
IN,6,0,10,9119
IN,6,0,6,391
IN,6,0,7,545
IN,6,2,10,9352
IN,6,0,6,2716
IN,1,0,7,3100
PK,1,2,8,6320
IN,1,5,3,762
PK,1,2,3,2224
PH,1,1,3,9566
US,1,0,7,4414
PK,1,2,8,6341
AE,6,2,6,8169
IN,1,0,3,908
PH,1,0,1,476
US,1,1,22,9415
IN,12,0,6,9965
IN,1,0,11,6669
US,1,0,7,6175
US,6,2,8,5
US,1,0,0,0
CO,1,0,0,0
IN,1,0,1,820
NL,1,5,5,23145
HU,1,0,31,24805
HK,1,0,29,20
IN,6,0,29,0
US,1,1,29,39080
US,1,0,1,210
IN,1,0,7,550
IN,12,0,11,70
IN,1,0,20,5
FR,1,1,7,5150
GB,1,1,11,1910
AU,1,1,7,21265
IN,6,4,7,15835
US,6,3,42,3415
ES,1,0,5,7339
AU,1,0,9,9055
ZA,1,1,2,6989
US,6,1,1,6105
IN,1,0,1,830
ZA,1,3,3,6880
US,6,0,7,8655
MA,1,0,7,733
US,1,0,7,9715
RU,1,2,10,2170
VN,6,5,6,48100
US,1,0,5,9315
IN,1,0,10,2685
NG,1,0,10,480
PH,1,0,0,0
PH,1,0,6,879
UA,1,0,7,5375
UA,1,0,8,6519
UA,1,0,8,5149
UA,1,0,11,2939
UA,1,0,9,6349
ES,1,0,8,461
LV,1,1,1,361
US,6,2,15,2510
US,6,3,2,7576
BI,1,0,9,1864
UA,1,0,8,4244
US,1,0,1,2090
NG,1,0,11,8142
UNKNOWN,1,0,8,9251
UNKNOWN,6,2,13,212105
UNKNOWN,1,0,8,2840
UNKNOWN,1,0,7,6913
UNKNOWN,1,2,6,1597
UNKNOWN,1,0,6,5347
UNKNOWN,1,4,2,7412
UNKNOWN,1,0,6,725
UNKNOWN,1,2,7,9827
UNKNOWN,1,2,6,2930
UNKNOWN,1,0,8,7461
UNKNOWN,1,0,8,9936
UNKNOWN,1,0,10,2305
IN,1,2,15,6108
IN,6,0,6,602
IN,6,0,7,8957
IN,6,0,8,8474
IN,6,0,10,8554
PK,1,0,5,6141
PK,1,0,7,3509
PK,1,0,4,820
PK,1,0,7,6748
PK,1,2,5,2177
US,1,2,11,4345
US,1,0,10,7011
RO,1,2,2,1034
PK,1,2,9,2973
PK,1,2,10,5060
US,1,2,7,1008
IN,1,0,7,5551
EU,1,2,3,5384
US,12,1,31,10165
DE,1,0,8,4230
IN,1,0,4,3724
CA,1,1,7,541
US,1,3,5,306755
GB,1,0,9,5284
IE,1,1,34,4216
CA,1,3,4,300070
SV,1,0,0,0
IN,1,3,1,111310
IN,1,0,9,7144
IN,1,0,8,8150
IN,1,0,6,4877
PL,1,1,3,211865
IN,1,0,10,8457
IN,6,1,3,6556
GB,1,2,3,35
IN,1,0,17,35475
IN,1,2,31,560
SE,6,1,6,579235
US,1,2,1,75730
IN,1,0,10,6350
UNKNOWN,1,0,11,3780
IN,1,0,22,0
CA,12,0,10,4945
IN,12,0,39,45
US,1,0,0,0
IN,1,0,31,35
US,1,2,11,205
NG,1,1,4,199010
US,1,1,10,22810
IE,6,1,1,107510
US,6,1,7,16630
US,1,0,14,865
IN,1,0,12,13285
US,12,0,6,5500
NZ,6,1,2,1935
US,6,2,6,290
UNKNOWN,1,3,2,17320
US,6,3,2,1850
US,1,11,5,7922
AU,1,0,12,9462
RU,1,0,2,830
RS,1,0,1,310
US,6,0,6,4231
RU,1,2,5,7496
US,1,2,5,2843
US,1,0,5,6273
SG,1,2,6,5059
IN,1,2,8,3942
PH,1,0,1,1440
CA,1,0,0,0
US,1,13,4,8005
IN,1,0,9,9603
US,6,2,10,10740
IN,1,0,9,5100
PH,1,0,8,75
UNKNOWN,1,1,1,9675
BE,1,1,2,3364
IN,6,5,3,59620
US,6,2,1,6686
US,1,0,10,9271
FR,1,17,3,56480
UA,1,0,6,1505
UA,1,0,7,6075
CL,1,3,18,11715
UNKNOWN,6,5,1,6776
BI,1,0,4,493
UA,1,0,8,2931
UA,1,0,4,5825
US,1,0,8,8665
AP,1,2,4,8052
UNKNOWN,1,2,5,537
UNKNOWN,1,2,3,665
UNKNOWN,1,2,2,7353
UNKNOWN,1,0,9,9162
UNKNOWN,6,0,11,18
UNKNOWN,1,0,10,4689
UNKNOWN,1,2,4,6521
UNKNOWN,1,2,6,3863
UNKNOWN,1,2,8,9091
UNKNOWN,1,0,8,2630
UNKNOWN,1,0,8,5361
UNKNOWN,1,0,9,8778
UNKNOWN,6,0,1,390
UNKNOWN,6,0,8,2967
UNKNOWN,1,2,10,9558
UNKNOWN,6,3,6,10
UNKNOWN,1,2,6,2259
DE,1,0,4,658
IN,6,0,6,8783
IN,6,0,7,5439
IN,6,0,6,7940
IN,6,0,10,8971
PK,1,0,5,7438
PK,1,0,6,2551
US,1,1,43,1588
GB,6,2,10,5398
US,1,0,10,2988
PK,1,2,8,9672
PK,1,2,3,6572
PK,1,2,12,1137
US,1,0,8,8425
US,1,0,7,2417
CA,6,2,9,641030
SE,6,2,5,9500
NG,1,0,6,1110
CA,1,3,13,151065
GB,6,0,0,0
US,12,1,8,50550
US,6,2,1,8574
GB,6,3,2,73330
US,6,2,21,12030
GB,6,1,2,8470
IN,1,0,7,1732
IN,1,0,6,882
IN,1,0,6,9739
IN,1,0,8,7777
UNKNOWN,6,2,1,96170
IN,1,0,8,1369
US,1,0,20,3577
BD,1,0,5,0
US,1,1,11,20310
PH,1,1,10,65
US,1,1,12,22690
GB,1,1,6,41510
US,1,0,1,40
IN,1,0,2,1635
SE,1,2,10,80
CO,1,0,0,0
GB,6,2,11,395
IN,1,2,41,375
AU,1,0,35,32595
IN,1,0,6,70
AU,1,1,1,46445
IN,6,0,30,20
HK,1,0,26,0
CO,1,1,39,16075
US,1,3,12,9300
RU,1,1,6,925
CA,1,0,1,15
IN,1,2,1,3060
FR,12,0,9,265
LV,1,0,2,185
GR,12,0,28,6475
US,6,1,8,41495
CA,6,3,17,14895
IN,1,0,6,3865
US,1,1,30,8610
IN,1,2,10,100
IN,6,1,23,21295
UNKNOWN,6,3,1,56530
UNKNOWN,1,13,9,2830
US,6,4,9,128535
GB,6,4,7,29175
IN,1,0,8,6212
ZA,6,0,6,5339
US,1,3,5,6126
GB,1,0,1,1151
US,1,7,3,8081
DE,1,0,5,7322
RS,1,0,2,599
US,1,0,8,1957
US,6,4,10,5880
MA,6,0,7,8098
MA,6,0,6,360
US,6,0,7,1267
US,1,0,6,6092
MA,1,0,8,2700
MA,1,0,5,3049
NZ,1,3,38,626
AU,1,0,0,0
EG,1,2,2,4911
US,6,1,8,9322
IN,1,0,11,3035
US,1,1,6,3626
EE,6,2,6,337490
US,1,0,8,2182
UA,1,0,6,2323
CA,1,2,3,3079
IN,1,9,1,4418
IN,1,1,7,4241
UNKNOWN,1,0,14,9265
MX,1,0,10,2386
GB,12,1,1,57215
UA,1,0,8,1804
UA,1,0,7,3533
UA,1,0,5,1602
US,1,0,13,1495
BE,1,0,4,1302
US,1,0,10,5888
CA,6,2,7,346390
US,1,2,9,786
UNKNOWN,1,0,8,6045
UNKNOWN,1,2,1,8746
UNKNOWN,1,2,36,1836
UNKNOWN,1,2,6,8289
UNKNOWN,1,0,9,637
UNKNOWN,1,0,7,3528
UNKNOWN,1,0,8,7371
UNKNOWN,1,0,6,4407
US,12,4,1,2487
UNKNOWN,1,2,8,7921
UNKNOWN,1,2,8,874
UNKNOWN,1,2,6,8785
UNKNOWN,1,0,9,2102
UNKNOWN,1,0,8,8280
UNKNOWN,1,0,12,3414
UNKNOWN,1,0,12,5671
UNKNOWN,1,2,9,4731
IN,6,0,7,1160
IN,6,2,8,1658
IN,6,0,9,9043
IN,6,0,6,4914
FR,1,3,3,5613
PK,1,0,7,229
PK,1,2,8,8113
IN,1,0,0,0
IN,1,0,9,1723
US,6,1,1,1453
PK,1,2,8,455
PK,1,2,7,900
US,1,3,1,5150
US,1,9,23,262
IN,6,0,9,9695
IN,1,0,1,214
IN,1,0,5,868
IN,1,0,6,1076
IN,1,0,8,3387
IN,1,0,10,2582
IN,1,2,1,4025
UNKNOWN,1,0,9,6394
IN,6,0,10,4986
US,6,2,1,67315
UNKNOWN,1,2,3,20820
US,6,3,1,55665
US,1,9,7,557985
US,1,2,4,2305
GB,6,0,16,3290
ID,1,5,5,28665
CA,1,0,34,35925
GB,1,0,2,5
IN,6,2,8,805
US,1,0,1,320
DK,1,1,12,4295
IN,1,2,6,721265
US,1,4,5,8820
IN,1,0,5,2300
IN,1,0,34,85
IN,12,2,32,3930
IN,1,0,19,20
IN,1,0,5,5
IN,6,2,34,200
US,1,2,2,125355
IN,1,0,1,1495
IN,1,1,6,995
US,6,1,1,158010
LB,1,2,4,75
GB,6,1,6,19915
AU,12,1,6,34120
US,1,0,4,6956
GB,1,0,22,3824
US,1,6,3,229305
AU,1,0,5,5826
EG,6,1,9,6179
CN,1,5,3,6569
DE,1,0,6,6964
RS,1,0,4,4429
MA,6,0,7,7520
NL,6,1,39,5881
US,1,0,7,9339
SG,1,3,7,850
RU,1,1,22,6430
IN,1,9,1,1258
US,1,0,7,9228
US,6,2,8,66000
US,1,0,6,1917
UNKNOWN,1,0,10,6539
US,1,0,5,838
US,1,0,3,737
IN,1,3,4,3487
IE,1,0,7,8676
DE,6,1,12,8598
IN,1,0,10,646
NG,1,0,8,6384
US,1,0,10,5967
US,1,0,7,5958
LT,1,3,3,7347
UA,1,0,8,8947
GB,1,1,2,6448
UA,1,0,6,3416
SE,6,3,6,3125
UA,1,0,7,1740
VN,6,0,12,1408
FR,6,3,6,68885
US,6,0,12,7797
GB,6,1,2,7791
MM,1,2,36,2795
US,1,0,10,9039
UNKNOWN,1,14,10,3193
UNKNOWN,1,2,6,5151
UNKNOWN,1,2,12,4371
UNKNOWN,1,0,0,0
UNKNOWN,1,0,9,4461
UNKNOWN,1,0,10,9237
UNKNOWN,1,0,0,0
UNKNOWN,1,0,8,5173
UNKNOWN,1,2,7,8921
UNKNOWN,1,0,9,1235
UNKNOWN,1,2,11,1834
UNKNOWN,1,1,3,5840
UNKNOWN,1,0,7,2711
UNKNOWN,1,0,11,8752
UNKNOWN,1,0,8,8739
UNKNOWN,1,2,8,7429
UNKNOWN,1,2,3,287
UNKNOWN,1,0,2,1921
UNKNOWN,1,0,0,0
UNKNOWN,1,2,8,9273
US,1,0,9,2141
IN,6,0,7,3831
IN,6,2,5,3720
CA,1,0,11,979
IN,1,2,3,9543
PK,1,0,5,7124
PK,1,2,6,9238
IN,1,0,8,5367
PK,1,2,1,9292
PK,1,2,9,1001
PK,1,2,5,5307
US,1,2,8,2902
PK,1,2,12,7464
US,6,1,10,31375
LB,6,1,7,4086
KR,1,1,2,8620
US,12,0,5,6591
PL,12,0,8,14
NL,1,8,5,14520
US,6,1,9,624250
US,6,2,5,186325
US,1,2,36,28150
US,1,1,6,4110
GB,6,0,13,3155
US,6,3,1,47385
GB,6,0,11,2250
US,1,1,14,4390
IN,1,0,14,22930
AT,1,1,2,95365
IN,1,0,9,0
US,1,6,37,35565
US,6,2,12,8035
NL,1,0,1,255
US,6,0,11,17850
DE,1,0,38,35485
IN,6,0,15,0
US,1,3,12,3300
CA,1,0,9,2500
MX,1,5,1,81465
FI,1,0,8,6095
SG,12,0,32,3920
US,1,1,4,279400
US,1,2,6,13135
US,1,0,25,13870
IN,6,2,14,165
LB,6,2,46,125
US,6,1,6,45840
IN,1,1,7,43650
ZA,1,0,13,100
HK,6,3,1,72255
US,1,4,7,10355
NZ,6,2,24,5775
IL,1,2,40,9366
US,1,2,4,6195
US,6,2,2,770
US,1,0,9,7916
US,6,4,40,9230
US,1,0,6,3495
US,1,0,8,2860
MA,1,0,6,4027
MA,1,0,7,7277
US,1,0,5,3348
US,1,0,6,509
IN,1,0,3,2137
FI,1,0,5,5627
NG,1,0,8,16
AU,6,2,2,7094
US,1,0,7,186
US,6,2,28,6840
UNKNOWN,6,3,5,113000
US,1,0,9,7036
US,1,1,4,7503
IN,1,0,4,8484
GB,6,3,2,19520
UA,1,0,10,6998
UA,1,0,7,8773
UA,1,0,9,8910
UA,1,0,1,522
UA,1,0,5,7723
PH,1,0,1,941
PH,1,0,8,2302
US,1,3,35,5191
US,6,0,7,7045
UA,1,0,5,1413
UA,1,0,5,5092
IL,1,0,6,3634
BR,6,3,6,226335
US,1,0,6,2184
UNKNOWN,1,0,8,1701
US,6,0,6,5678
US,1,0,0,0
UNKNOWN,1,0,8,2998
UNKNOWN,1,2,6,3391
UNKNOWN,6,3,2,7260
UNKNOWN,1,0,8,3179
UNKNOWN,1,12,2,9020
UNKNOWN,1,0,9,6308
UNKNOWN,1,2,5,2866
UNKNOWN,1,2,5,5593
UNKNOWN,1,2,7,7088
UNKNOWN,1,2,6,6753
UNKNOWN,1,0,11,1102
UNKNOWN,6,2,6,139105
UNKNOWN,1,2,2,8248
UNKNOWN,1,0,8,9715
IN,6,0,12,1960
IN,6,2,11,5360
IN,6,0,8,6659
IN,6,0,6,3610
IN,6,0,6,6087
IN,6,0,7,156
IN,6,0,6,9827
CA,1,0,9,3298
PK,1,0,2,1651
CZ,6,0,2,991
IN,1,2,5,6372
PK,1,2,10,1370
UA,1,0,17,738
NG,1,2,5,958
US,1,0,12,1020
US,1,0,3,5696
UNKNOWN,6,2,2,22635
US,1,0,7,4642
US,1,2,6,2419
US,1,3,9,4191
US,1,2,5,6929
IN,1,0,6,5453
US,1,1,10,8177
IT,12,1,4,383080
US,6,2,3,233110
US,1,1,8,7997
IN,1,1,6,4169
IN,1,0,7,7779
IN,1,0,5,4451
IN,1,0,5,368
GB,6,1,3,1171
US,1,1,18,8650
IN,1,0,8,6292
IN,1,0,20,827
SI,1,0,40,35810
IN,1,0,18,3725
NO,1,4,14,3305
IN,1,0,7,5610
IN,1,0,9,5
GB,6,1,5,120
GB,1,3,6,22845
US,1,0,20,31500
US,1,2,9,20
IN,1,0,6,0
IN,1,0,3,3135
GB,1,0,2,20
RS,1,0,18,5530
US,1,3,5,335
SE,1,0,11,9035
SE,6,0,2,10
IN,1,0,10,30
US,1,0,3,665
IN,1,0,44,515
FR,1,0,6,3245
IN,1,0,20,4545
LK,1,0,4,355
NL,1,2,6,0
US,1,0,19,10590
BR,1,2,23,10940
US,6,1,2,1635
US,1,0,0,0
AU,1,0,7,409
AU,1,0,8,1357
IN,1,0,9,81
ES,6,3,2,6695
IN,1,0,7,4467
US,6,1,6,6335
PH,6,0,0,0
CA,1,3,9,4196
GB,12,2,9,1495
DE,6,3,23,411
IN,1,0,3,2384
GB,1,5,2,46210
US,1,0,6,5675
IE,1,1,5,6589
PL,1,2,3,6725
US,1,0,11,7906
IN,1,0,9,6828
IN,1,0,6,5441
US,6,2,13,1960
US,6,4,2,44920
US,6,3,3,51425
US,1,0,8,5598
AT,1,0,10,8588
RU,1,2,6,1762
UA,1,0,6,9583
UA,1,0,6,4756
UA,1,0,8,887
IL,6,0,8,8946
US,1,0,3,965
IN,6,0,11,2512
UNKNOWN,1,0,8,822
US,1,1,8,4518
BE,1,1,20,7924
IN,1,0,5,3317
UNKNOWN,1,0,11,6983
UNKNOWN,1,0,5,3524
UNKNOWN,6,1,5,9851
UNKNOWN,1,1,6,7815
UNKNOWN,1,2,48,4224
UNKNOWN,1,0,10,5192
UNKNOWN,1,0,5,868
UNKNOWN,1,0,8,5088
UNKNOWN,1,0,0,0
UNKNOWN,1,0,9,9779
UNKNOWN,1,0,2,512
UNKNOWN,1,0,12,6190
UNKNOWN,1,2,6,8077
UNKNOWN,1,0,8,5868
UNKNOWN,1,2,6,7173
UNKNOWN,1,0,0,0
UNKNOWN,1,2,6,8488
UNKNOWN,1,0,11,8492
UNKNOWN,1,2,8,6249
UNKNOWN,1,1,6,5649
UNKNOWN,6,2,8,1455
US,1,3,2,55780
KZ,6,1,22,4480
IN,6,2,5,2150
IN,6,0,7,9922
IN,6,0,9,4304
IN,6,0,10,8136
IN,6,0,5,1730
US,6,4,1,35225
AU,1,2,2,5871
PK,1,0,7,1182
PK,1,2,6,2482
PK,1,2,7,2022
PK,1,2,5,7889
PK,1,2,8,1117
US,1,2,7,9167
SE,12,2,5,189250
IN,1,0,3,6155
US,1,2,2,14330
VN,1,0,6,5526
US,1,0,7,3529
IN,1,0,6,4360
IN,1,0,7,6407
IN,1,0,12,1751
IN,1,0,7,4333
GB,1,1,7,1532
IT,1,0,3,725
US,1,6,4,224470
IN,1,0,1,465
IN,1,0,18,7403
IN,1,0,16,2461
US,1,0,9,12060
IN,1,1,7,78145
IN,1,2,7,4935
US,6,2,43,22075
RO,1,0,8,12770
US,6,0,15,165
US,1,3,3,41485
SE,1,0,21,60
PT,1,5,29,35895
US,1,2,15,30
US,1,4,9,82740
IN,6,1,5,601330
IE,1,0,17,20690
UNKNOWN,6,2,9,55
US,1,0,11,6480
US,1,1,7,2180
ES,6,1,4,561955
DE,1,0,7,7775
IN,1,0,46,450
SG,12,0,34,3180
US,1,0,26,23690
IN,1,0,39,20620
DE,1,0,3,455
US,6,0,7,0
US,6,0,4,0
FR,1,0,39,875
US,6,1,5,7970
US,12,2,24,1381
UNKNOWN,6,6,1,2638
US,6,1,22,9015
HK,6,2,7,11120
TR,1,2,7,2022
IN,6,2,8,7863
AU,1,0,7,8648
US,1,2,8,2874
TR,1,3,1,7354
LT,1,1,13,6804
US,1,7,19,4946
US,6,0,9,439
US,1,2,8,915
US,6,0,6,3495
US,1,0,6,2903
PH,1,0,6,1070
US,6,2,1,4017
US,1,5,2,44730
LK,1,1,5,2881
GB,6,2,2,25395
IN,1,4,7,9924
RU,1,2,15,6852
HU,6,1,7,5408
US,1,0,7,7466
US,1,1,2,6681
US,1,0,7,3988
US,6,2,3,50600
US,1,2,4,25880
IN,6,3,2,4710
UA,1,0,10,6364
UA,1,0,6,5821
UA,1,0,8,6160
UA,1,0,8,5793
US,6,1,2,158
UA,1,0,6,2344
ES,1,4,21,7166
RO,1,0,7,1969
US,1,0,7,8890
US,1,0,0,0
IN,1,0,5,1070
UA,1,0,6,989
UA,1,0,7,3561
UA,1,0,8,9648
UA,1,0,6,7677
US,1,0,7,9843
SG,6,1,5,5389
UNKNOWN,1,1,2,596
UNKNOWN,6,1,4,5054
UNKNOWN,1,4,7,9433
UNKNOWN,1,2,6,9166
UNKNOWN,1,2,3,9851
UNKNOWN,1,0,8,6650
UNKNOWN,1,0,10,7870
UNKNOWN,1,0,3,1919
UNKNOWN,1,0,12,9371
UNKNOWN,1,0,6,748
UNKNOWN,1,0,10,4410
UNKNOWN,1,0,8,4833
UNKNOWN,1,1,11,2138
UNKNOWN,1,0,10,8868
UNKNOWN,1,2,8,7441
UNKNOWN,1,0,9,287
UNKNOWN,1,0,10,8198
UNKNOWN,1,2,13,14
UNKNOWN,6,0,4,281
AU,1,2,8,1267
US,6,3,41,8815
ID,1,6,9,38695
IN,6,0,6,7120
IN,6,2,9,7327
IN,6,0,11,3172
IN,6,0,8,5599
IN,6,0,11,9843
US,1,11,6,39350
IN,1,2,8,695
IN,1,0,10,1103
NG,1,0,11,2001
NO,1,0,0,0
US,1,2,26,5539
PK,1,2,1,8182
US,1,0,9,9580
PK,1,0,6,3102
GR,1,0,10,4034
IN,1,0,10,3017
PH,1,0,12,6801
DE,1,0,9,5702
JM,6,2,9,33470
US,1,2,8,8198
IN,1,1,6,577795
IN,1,0,18,2173
SE,1,3,6,496010
TW,1,3,32,23380
US,1,1,1,53630
US,1,4,2,161885
US,1,4,29,40110
HK,1,0,27,0
HK,1,0,24,15
IN,1,2,3,110
SG,12,0,0,0
FR,1,0,8,5080
US,1,0,24,11400
IN,1,1,7,9545
US,1,0,6,1495
IN,1,0,8,3540
GB,1,1,23,375
IN,1,1,42,21000
