payment_method_type,country,rebill_period_in_months,firstSub,observation_date,age,all_time_views,last_month_views,next_month_views,is_cancelled
PAYPAL,usa,1,,2018-03-01,795,176,,,true
SAGEPAY,usa,1,1.0,2018-03-01,705,78,,,true
SAGEPAY,usa,1,1.0,2018-03-01,599,81,,,true
PAYPAL,usa,1,,2018-03-01,515,59,,,true
SAGEPAY,ind,6,,2018-03-01,440,373,1,4,false
PAYPAL,usa,1,,2018-03-01,415,140,,,true
SAGEPAY,usa,1,1.0,2018-03-01,79,22,,,true
OFFLINE,deu,12,1.0,2018-04-01,919,,,,true
SAGEPAY,ind,1,,2018-04-01,821,514,,,false
SAGEPAY,usa,1,1.0,2018-04-01,784,13,,,true
PAYPAL,per,1,1.0,2018-04-01,705,478,,,true
SAGEPAY,usa,1,,2018-04-01,686,44,,,true
PAYPAL,mex,1,1.0,2018-04-01,642,87,,,true
PAYPAL,usa,1,1.0,2018-04-01,588,15,,,true
PAYPAL,mex,1,1.0,2018-04-01,576,5,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,516,10,,,false
PAYPAL,can,6,1.0,2018-04-01,14,5,5,,false
OFFLINE,deu,12,1.0,2018-05-01,949,,,,true
SAGEPAY,ind,1,,2018-05-01,851,514,,,false
SAGEPAY,usa,1,1.0,2018-05-01,814,13,,,true
PAYPAL,per,1,1.0,2018-05-01,735,478,,,true
SAGEPAY,usa,1,,2018-05-01,716,44,,,true
PAYPAL,mex,1,1.0,2018-05-01,672,87,,,true
PAYPAL,usa,1,1.0,2018-05-01,618,15,,,true
PAYPAL,mex,1,1.0,2018-05-01,606,5,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,546,10,,,false
PAYPAL,can,6,1.0,2018-05-01,44,5,,,false
SAGEPAY,usa,1,1.0,2018-04-01,983,264,77,12,false
SAGEPAY,usa,1,1.0,2018-04-01,982,165,,,true
SAGEPAY,usa,1,1.0,2018-04-01,958,74,,,false
SAGEPAY,chn,1,1.0,2018-04-01,611,28,,,true
SAGEPAY,usa,1,1.0,2018-04-01,458,67,,,true
PAYPAL,nzl,1,1.0,2018-04-01,327,19,,,true
SAGEPAY,ita,12,1.0,2018-04-01,124,252,109,25,false
SAGEPAY,swe,6,1.0,2018-04-01,47,479,,4,false
SAGEPAY,idn,1,,2018-04-01,22,862,155,5,false
SAGEPAY,che,6,1.0,2018-02-01,924,306,,,true
SAGEPAY,rou,1,1.0,2018-02-01,879,76,2,1,false
SAGEPAY,ind,1,1.0,2018-02-01,700,483,,,true
PAYPAL,usa,1,1.0,2018-02-01,636,182,,,true
SAGEPAY,srb,1,1.0,2018-02-01,612,20,,,true
PAYPAL,usa,1,,2018-02-01,585,190,,,true
SAGEPAY,usa,1,1.0,2018-02-01,566,272,,,true
SAGEPAY,usa,1,1.0,2018-02-01,186,448,200,138,true
SAGEPAY,usa,6,,2018-02-01,154,962,468,279,false
SAGEPAY,tur,1,1.0,2018-04-01,638,199,,,false
PAYPAL,usa,1,1.0,2018-04-01,585,76,,,true
SAGEPAY,usa,1,1.0,2018-04-01,567,47,,,true
SAGEPAY,usa,1,1.0,2018-04-01,522,136,,,true
SAGEPAY,usa,1,1.0,2018-04-01,504,102,,,true
SAGEPAY,ind,1,1.0,2018-04-01,294,146,,,true
SAGEPAY,idn,1,1.0,2018-04-01,224,862,155,5,true
SAGEPAY,usa,12,,2018-04-01,68,37,4,8,false
SAGEPAY,usa,1,1.0,2018-04-01,29,185,185,37,false
SAGEPAY,usa,1,1.0,2018-05-01,1013,278,12,22,false
SAGEPAY,usa,1,1.0,2018-05-01,1012,165,,,true
SAGEPAY,usa,1,1.0,2018-05-01,988,74,,,false
SAGEPAY,chn,1,1.0,2018-05-01,641,28,,,true
SAGEPAY,usa,1,1.0,2018-05-01,488,67,,,true
PAYPAL,nzl,1,1.0,2018-05-01,357,19,,,true
SAGEPAY,ita,12,1.0,2018-05-01,154,276,25,9,false
SAGEPAY,swe,6,1.0,2018-05-01,77,483,4,,false
SAGEPAY,idn,1,,2018-05-01,52,884,5,,true
SAGEPAY,usa,1,,2018-03-01,837,1197,,,true
SAGEPAY,usa,1,1.0,2018-03-01,683,23,,,true
SAGEPAY,aze,1,1.0,2018-03-01,537,314,15,11,false
SAGEPAY,usa,1,1.0,2018-03-01,498,40,,,true
SAGEPAY,usa,1,1.0,2018-03-01,480,142,,,true
SAGEPAY,che,1,,2018-03-01,279,306,,,true
SAGEPAY,usa,12,1.0,2018-03-01,95,80,19,10,false
SAGEPAY,usa,1,,2018-03-01,20,46,2,,false
SAGEPAY,usa,1,1.0,2018-03-01,16,135,150,175,false
SAGEPAY,usa,1,1.0,2018-03-01,941,627,2,,false
SAGEPAY,usa,1,1.0,2018-03-01,931,381,60,24,true
SAGEPAY,usa,1,1.0,2018-03-01,930,548,,,false
SAGEPAY,deu,1,1.0,2018-03-01,757,42,,,true
PAYPAL,nga,1,,2018-03-01,615,1402,,,true
SAGEPAY,usa,6,1.0,2018-03-01,443,456,,,true
PAYPAL,usa,6,1.0,2018-03-01,420,413,,2,false
SAGEPAY,gbr,12,1.0,2018-03-01,153,33,,,false
SAGEPAY,chn,1,1.0,2018-03-01,101,194,,,true
SAGEPAY,usa,1,1.0,2018-02-01,913,625,,2,false
SAGEPAY,usa,1,1.0,2018-02-01,903,321,4,60,true
SAGEPAY,usa,1,1.0,2018-02-01,902,548,,,false
SAGEPAY,deu,1,1.0,2018-02-01,729,42,,,true
PAYPAL,nga,1,,2018-02-01,587,1402,5,,true
SAGEPAY,usa,6,1.0,2018-02-01,415,456,,,true
PAYPAL,usa,6,1.0,2018-02-01,392,413,,,false
SAGEPAY,gbr,12,1.0,2018-02-01,125,33,3,,false
SAGEPAY,chn,1,1.0,2018-02-01,73,194,,,true
SAGEPAY,can,1,1.0,2018-04-01,913,142,,,true
PAYPAL,mex,1,1.0,2018-04-01,905,66,,,true
SAGEPAY,sgp,12,1.0,2018-04-01,795,607,,44,false
SAGEPAY,ind,1,1.0,2018-04-01,619,10,,,true
SAGEPAY,usa,1,1.0,2018-04-01,579,28,,,true
PAYPAL,fin,1,1.0,2018-04-01,572,18,,,true
SAGEPAY,usa,1,1.0,2018-04-01,570,24,,,true
SAGEPAY,usa,12,1.0,2018-04-01,435,37,4,8,true
SAGEPAY,usa,1,1.0,2018-04-01,12,147,147,79,false
SAGEPAY,usa,1,1.0,2018-06-01,1044,300,22,,false
SAGEPAY,usa,1,1.0,2018-06-01,1043,165,,,true
SAGEPAY,usa,1,1.0,2018-06-01,1019,74,,,false
SAGEPAY,chn,1,1.0,2018-06-01,672,28,,,true
SAGEPAY,usa,1,1.0,2018-06-01,519,67,,,true
PAYPAL,nzl,1,1.0,2018-06-01,388,19,,,true
SAGEPAY,ita,12,1.0,2018-06-01,185,291,9,58,false
SAGEPAY,swe,6,1.0,2018-06-01,108,483,,,false
SAGEPAY,idn,1,,2018-06-01,83,884,,,true
PAYPAL,usa,1,1.0,2018-03-01,909,11,,,true
PAYPAL,gbr,1,1.0,2018-03-01,785,651,38,,false
SAGEPAY,usa,1,1.0,2018-03-01,754,80,,,true
PAYPAL,usa,1,1.0,2018-03-01,722,120,49,128,true
SAGEPAY,ind,1,1.0,2018-03-01,675,70,,,false
PAYPAL,rou,1,1.0,2018-03-01,592,351,,3,false
PAYPAL,usa,1,,2018-03-01,555,142,1,1,false
SAGEPAY,are,1,1.0,2018-03-01,485,55,,,false
PAYPAL,nld,1,,2018-03-01,190,433,12,12,true
SAGEPAY,usa,1,1.0,2018-04-01,972,627,,,false
SAGEPAY,usa,1,1.0,2018-04-01,962,405,24,,true
SAGEPAY,usa,1,1.0,2018-04-01,961,548,,,false
SAGEPAY,deu,1,1.0,2018-04-01,788,42,,,true
PAYPAL,nga,1,,2018-04-01,646,1402,,1,true
SAGEPAY,usa,6,1.0,2018-04-01,474,456,,,true
PAYPAL,usa,6,1.0,2018-04-01,451,415,2,,false
SAGEPAY,gbr,12,1.0,2018-04-01,184,33,,,false
SAGEPAY,chn,1,1.0,2018-04-01,132,194,,,true
PAYPAL,usa,1,1.0,2018-02-01,881,11,,,true
PAYPAL,gbr,1,1.0,2018-02-01,757,613,15,38,false
SAGEPAY,usa,1,1.0,2018-02-01,726,80,,,true
PAYPAL,usa,1,1.0,2018-02-01,694,71,14,49,true
SAGEPAY,ind,1,1.0,2018-02-01,647,70,,,false
PAYPAL,rou,1,1.0,2018-02-01,564,351,1,,false
PAYPAL,usa,1,,2018-02-01,527,141,,1,false
SAGEPAY,are,1,1.0,2018-02-01,457,55,,,false
PAYPAL,nld,1,,2018-02-01,162,423,16,12,true
SAGEPAY,usa,1,,2018-04-01,868,1197,,,true
SAGEPAY,usa,1,1.0,2018-04-01,714,23,,,true
SAGEPAY,aze,1,1.0,2018-04-01,568,325,11,,false
SAGEPAY,usa,1,1.0,2018-04-01,528,40,,,true
SAGEPAY,usa,1,1.0,2018-04-01,511,142,,,true
SAGEPAY,che,1,,2018-04-01,310,306,,,true
SAGEPAY,usa,12,1.0,2018-04-01,126,90,10,1,false
SAGEPAY,usa,1,,2018-04-01,51,46,,,false
SAGEPAY,usa,1,1.0,2018-04-01,47,321,175,140,false
SAGEPAY,can,1,1.0,2018-05-01,943,142,,,true
PAYPAL,mex,1,1.0,2018-05-01,935,66,,,true
SAGEPAY,sgp,12,1.0,2018-05-01,825,651,44,38,false
SAGEPAY,ind,1,1.0,2018-05-01,649,10,,,true
SAGEPAY,usa,1,1.0,2018-05-01,609,28,,,true
PAYPAL,fin,1,1.0,2018-05-01,602,18,,,true
SAGEPAY,usa,1,1.0,2018-05-01,600,24,,,true
SAGEPAY,usa,12,1.0,2018-05-01,465,45,8,,true
SAGEPAY,usa,1,1.0,2018-05-01,42,226,79,,false
SAGEPAY,aus,1,1.0,2018-03-01,776,61,,,true
SAGEPAY,gbr,1,1.0,2018-03-01,771,104,,,true
SAGEPAY,nzl,1,1.0,2018-03-01,685,100,,,true
PAYPAL,gbr,1,1.0,2018-03-01,632,75,,,true
PAYPAL,usa,1,1.0,2018-03-01,494,109,,,true
SAGEPAY,usa,1,1.0,2018-03-01,493,416,,22,false
SAGEPAY,usa,12,1.0,2018-03-01,332,32,17,,false
PAYPAL,chl,6,,2018-03-01,295,770,,,false
SAGEPAY,usa,1,,2018-03-01,219,276,18,66,false
PAYPAL,usa,1,1.0,2018-04-01,940,11,,,true
PAYPAL,gbr,1,1.0,2018-04-01,816,651,,,false
SAGEPAY,usa,1,1.0,2018-04-01,785,80,,,true
PAYPAL,usa,1,1.0,2018-04-01,753,244,128,14,true
SAGEPAY,ind,1,1.0,2018-04-01,706,70,,,false
PAYPAL,rou,1,1.0,2018-04-01,623,354,3,,false
PAYPAL,usa,1,,2018-04-01,586,143,1,1,false
SAGEPAY,are,1,1.0,2018-04-01,516,55,,,false
PAYPAL,nld,1,,2018-04-01,221,447,12,23,true
SAGEPAY,bgr,1,1.0,2018-06-01,861,428,,,true
SAGEPAY,gbr,1,1.0,2018-06-01,860,18,,,false
SAGEPAY,usa,1,,2018-06-01,826,414,,,true
SAGEPAY,usa,1,1.0,2018-06-01,576,169,,,true
PAYPAL,can,1,1.0,2018-06-01,509,90,,,true
SAGEPAY,usa,1,1.0,2018-06-01,405,15,,,true
PAYPAL,usa,6,1.0,2018-06-01,289,44,,,true
SAGEPAY,swe,6,1.0,2018-06-01,247,396,19,23,false
SAGEPAY,ind,1,1.0,2018-06-01,39,188,97,14,false
SAGEPAY,usa,1,,2018-06-01,929,1197,,,true
SAGEPAY,usa,1,1.0,2018-06-01,775,23,,,true
SAGEPAY,aze,1,1.0,2018-06-01,629,337,12,90,false
SAGEPAY,usa,1,1.0,2018-06-01,589,40,,,true
SAGEPAY,usa,1,1.0,2018-06-01,572,142,,,true
SAGEPAY,che,1,,2018-06-01,371,306,,,true
SAGEPAY,usa,12,1.0,2018-06-01,187,91,,19,false
SAGEPAY,usa,1,,2018-06-01,112,46,,,true
SAGEPAY,usa,1,1.0,2018-06-01,108,491,26,7,false
SAGEPAY,aus,1,1.0,2018-02-01,748,61,,,true
SAGEPAY,gbr,1,1.0,2018-02-01,743,104,,,true
SAGEPAY,nzl,1,1.0,2018-02-01,657,100,,,true
PAYPAL,gbr,1,1.0,2018-02-01,604,75,,,true
PAYPAL,usa,1,1.0,2018-02-01,466,109,,,true
SAGEPAY,usa,1,1.0,2018-02-01,465,416,,,false
SAGEPAY,usa,12,1.0,2018-02-01,304,15,,17,false
PAYPAL,chl,6,,2018-02-01,267,770,16,,false
SAGEPAY,usa,1,,2018-02-01,191,263,4,18,false
SAGEPAY,esp,1,1.0,2018-02-01,841,161,,,true
SAGEPAY,usa,1,1.0,2018-02-01,825,14,,,true
SAGEPAY,aus,1,,2018-02-01,739,147,,12,false
SAGEPAY,usa,1,,2018-02-01,609,186,,,false
SAGEPAY,usa,1,1.0,2018-02-01,606,48,,,true
SAGEPAY,svk,1,1.0,2018-02-01,569,94,,,true
SAGEPAY,usa,1,1.0,2018-02-01,495,6,,,true
SAGEPAY,usa,6,1.0,2018-02-01,306,405,98,2,false
SAGEPAY,gbr,6,1.0,2018-02-01,41,119,67,6,false
SAGEPAY,gbr,1,1.0,2018-03-01,951,53,,,true
SAGEPAY,usa,1,1.0,2018-03-01,949,319,,,true
SAGEPAY,usa,1,1.0,2018-03-01,936,288,,,true
PAYPAL,usa,1,1.0,2018-03-01,851,109,,,true
PAYPAL,usa,1,1.0,2018-03-01,816,306,,,true
SAGEPAY,usa,1,1.0,2018-03-01,782,151,,,true
SAGEPAY,can,1,1.0,2018-03-01,530,155,,,true
SAGEPAY,usa,6,1.0,2018-03-01,410,864,,,false
SAGEPAY,usa,6,,2018-03-01,204,1091,51,6,false
PAYPAL,usa,1,1.0,2018-04-01,831,384,51,9,true
SAGEPAY,usa,1,1.0,2018-04-01,818,272,,,true
PAYPAL,nga,1,,2018-04-01,581,1402,,1,true
SAGEPAY,mex,1,1.0,2018-04-01,532,101,,,true
SAGEPAY,ind,1,1.0,2018-04-01,443,104,,,true
SAGEPAY,usa,6,1.0,2018-04-01,407,,,,true
SAGEPAY,gbr,12,1.0,2018-04-01,184,9,,,false
SAGEPAY,can,6,1.0,2018-04-01,166,454,,,false
SAGEPAY,usa,1,1.0,2018-04-01,1,45,55,69,false
SAGEPAY,usa,1,,2018-05-01,930,10,,,true
PAYPAL,usa,1,1.0,2018-05-01,751,30,,,true
SAGEPAY,nga,1,,2018-05-01,737,1403,1,,true
SAGEPAY,usa,1,,2018-05-01,592,31,,,false
SAGEPAY,ind,1,1.0,2018-05-01,584,855,121,70,true
SAGEPAY,usa,1,1.0,2018-05-01,570,555,32,,true
SAGEPAY,usa,12,1.0,2018-05-01,251,24,,,false
PAYPAL,usa,6,,2018-05-01,118,15,,,false
SAGEPAY,can,1,1.0,2018-05-01,12,166,159,155,false
PAYPAL,usa,1,1.0,2018-05-01,861,393,9,,true
SAGEPAY,usa,1,1.0,2018-05-01,848,272,,,true
PAYPAL,nga,1,,2018-05-01,611,1403,1,,true
SAGEPAY,mex,1,1.0,2018-05-01,562,101,,,true
SAGEPAY,ind,1,1.0,2018-05-01,473,104,,,true
SAGEPAY,usa,6,1.0,2018-05-01,437,,,,true
SAGEPAY,gbr,12,1.0,2018-05-01,214,9,,,false
SAGEPAY,can,6,1.0,2018-05-01,196,454,,,false
SAGEPAY,usa,1,1.0,2018-05-01,31,124,69,75,false
SAGEPAY,gbr,1,1.0,2018-02-01,923,53,,,true
SAGEPAY,usa,1,1.0,2018-02-01,921,319,,,true
SAGEPAY,usa,1,1.0,2018-02-01,908,288,,,true
PAYPAL,usa,1,1.0,2018-02-01,823,109,,,true
PAYPAL,usa,1,1.0,2018-02-01,788,306,,,true
SAGEPAY,usa,1,1.0,2018-02-01,754,151,,,true
SAGEPAY,can,1,1.0,2018-02-01,502,155,,,true
SAGEPAY,usa,6,1.0,2018-02-01,382,864,,,false
SAGEPAY,usa,6,,2018-02-01,176,1040,,51,false
SAGEPAY,esp,1,1.0,2018-03-01,869,161,,,true
SAGEPAY,usa,1,1.0,2018-03-01,853,14,,,true
SAGEPAY,aus,1,,2018-03-01,767,159,12,,false
SAGEPAY,usa,1,,2018-03-01,637,186,,,false
SAGEPAY,usa,1,1.0,2018-03-01,634,48,,,true
SAGEPAY,svk,1,1.0,2018-03-01,597,94,,,true
SAGEPAY,usa,1,1.0,2018-03-01,523,6,,,true
SAGEPAY,usa,6,1.0,2018-03-01,334,407,2,25,false
SAGEPAY,gbr,6,1.0,2018-03-01,69,125,6,2,false
SAGEPAY,esp,1,1.0,2018-04-01,900,161,,,true
SAGEPAY,usa,1,1.0,2018-04-01,884,14,,,true
SAGEPAY,aus,1,,2018-04-01,798,159,,,false
SAGEPAY,usa,1,,2018-04-01,667,186,,8,false
SAGEPAY,usa,1,1.0,2018-04-01,665,48,,,true
SAGEPAY,svk,1,1.0,2018-04-01,628,94,,,true
SAGEPAY,usa,1,1.0,2018-04-01,554,6,,,true
SAGEPAY,usa,6,1.0,2018-04-01,365,432,25,,false
SAGEPAY,gbr,6,1.0,2018-04-01,100,127,2,21,false
SAGEPAY,usa,1,1.0,2018-05-01,971,66,,,true
SAGEPAY,usa,1,1.0,2018-05-01,926,147,,,true
SAGEPAY,nga,1,1.0,2018-05-01,900,1403,1,,true
SAGEPAY,pol,1,1.0,2018-05-01,700,75,,,true
SAGEPAY,egy,1,1.0,2018-05-01,476,178,,,true
SAGEPAY,usa,6,1.0,2018-05-01,391,186,,,true
PAYPAL,nga,1,,2018-05-01,225,1403,1,,true
PAYPAL,ita,1,,2018-05-01,192,640,17,16,true
PAYPAL,usa,1,1.0,2018-05-01,103,139,5,,false
SAGEPAY,esp,1,1.0,2018-05-01,930,161,,,true
SAGEPAY,usa,1,1.0,2018-05-01,914,14,,,true
SAGEPAY,aus,1,,2018-05-01,828,159,,,false
SAGEPAY,usa,1,,2018-05-01,697,189,8,56,false
SAGEPAY,usa,1,1.0,2018-05-01,695,48,,,true
SAGEPAY,svk,1,1.0,2018-05-01,658,94,,,true
SAGEPAY,usa,1,1.0,2018-05-01,584,6,,,true
SAGEPAY,usa,6,1.0,2018-05-01,395,432,,,true
SAGEPAY,gbr,6,1.0,2018-05-01,130,147,21,50,false
SAGEPAY,usa,1,1.0,2018-04-01,941,66,,,true
SAGEPAY,usa,1,1.0,2018-04-01,896,147,,,true
SAGEPAY,nga,1,1.0,2018-04-01,870,1402,,1,true
SAGEPAY,pol,1,1.0,2018-04-01,670,75,,,true
SAGEPAY,egy,1,1.0,2018-04-01,446,178,,,true
SAGEPAY,usa,6,1.0,2018-04-01,361,186,,,true
PAYPAL,nga,1,,2018-04-01,195,1402,,1,true
PAYPAL,ita,1,,2018-04-01,162,623,,17,true
PAYPAL,usa,1,1.0,2018-04-01,73,134,61,5,false
SAGEPAY,gbr,1,1.0,2018-04-01,982,53,,,true
SAGEPAY,usa,1,1.0,2018-04-01,980,319,,,true
SAGEPAY,usa,1,1.0,2018-04-01,967,288,,,true
PAYPAL,usa,1,1.0,2018-04-01,882,109,,,true
PAYPAL,usa,1,1.0,2018-04-01,847,306,,,true
SAGEPAY,usa,1,1.0,2018-04-01,813,151,,,true
SAGEPAY,can,1,1.0,2018-04-01,561,155,,,true
SAGEPAY,usa,6,1.0,2018-04-01,441,864,,,false
SAGEPAY,usa,6,,2018-04-01,234,1097,6,,false
PAYPAL,usa,1,1.0,2018-05-01,970,11,,,true
PAYPAL,gbr,1,1.0,2018-05-01,846,651,,41,false
SAGEPAY,usa,1,1.0,2018-05-01,815,80,,,true
PAYPAL,usa,1,1.0,2018-05-01,783,262,14,,true
SAGEPAY,ind,1,1.0,2018-05-01,736,70,,,false
PAYPAL,rou,1,1.0,2018-05-01,653,354,,,false
PAYPAL,usa,1,,2018-05-01,616,144,1,,false
SAGEPAY,are,1,1.0,2018-05-01,546,55,,,false
PAYPAL,nld,1,,2018-05-01,251,470,23,18,true
SAGEPAY,tur,1,1.0,2018-05-01,668,199,,,false
PAYPAL,usa,1,1.0,2018-05-01,615,76,,,true
SAGEPAY,usa,1,1.0,2018-05-01,597,47,,,true
SAGEPAY,usa,1,1.0,2018-05-01,552,136,,,true
SAGEPAY,usa,1,1.0,2018-05-01,534,102,,,true
SAGEPAY,ind,1,1.0,2018-05-01,324,146,,,true
SAGEPAY,idn,1,1.0,2018-05-01,254,884,5,,true
SAGEPAY,usa,12,,2018-05-01,98,45,8,,false
SAGEPAY,usa,1,1.0,2018-05-01,59,222,37,,true
SAGEPAY,bgr,1,1.0,2018-05-01,830,428,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,829,18,,,false
SAGEPAY,usa,1,,2018-05-01,795,414,,,true
SAGEPAY,usa,1,1.0,2018-05-01,545,169,,,true
PAYPAL,can,1,1.0,2018-05-01,478,90,,,true
SAGEPAY,usa,1,1.0,2018-05-01,374,15,,,true
PAYPAL,usa,6,1.0,2018-05-01,258,44,,,true
SAGEPAY,swe,6,1.0,2018-05-01,216,377,6,19,false
SAGEPAY,ind,1,1.0,2018-05-01,8,86,94,97,false
SAGEPAY,usa,1,,2018-05-01,898,1197,,,true
SAGEPAY,usa,1,1.0,2018-05-01,744,23,,,true
SAGEPAY,aze,1,1.0,2018-05-01,598,325,,12,false
SAGEPAY,usa,1,1.0,2018-05-01,558,40,,,true
SAGEPAY,usa,1,1.0,2018-05-01,541,142,,,true
SAGEPAY,che,1,,2018-05-01,340,306,,,true
SAGEPAY,usa,12,1.0,2018-05-01,156,91,1,,false
SAGEPAY,usa,1,,2018-05-01,81,46,,,true
SAGEPAY,usa,1,1.0,2018-05-01,77,465,140,26,false
PAYPAL,usa,1,1.0,2018-06-01,1001,11,,,true
PAYPAL,gbr,1,1.0,2018-06-01,877,692,41,27,false
SAGEPAY,usa,1,1.0,2018-06-01,846,80,,,true
PAYPAL,usa,1,1.0,2018-06-01,814,262,,6,true
SAGEPAY,ind,1,1.0,2018-06-01,767,70,,,false
PAYPAL,rou,1,1.0,2018-06-01,684,354,,,false
PAYPAL,usa,1,,2018-06-01,647,144,,,false
SAGEPAY,are,1,1.0,2018-06-01,577,55,,,false
PAYPAL,nld,1,,2018-06-01,282,488,18,2,true
SAGEPAY,esp,1,1.0,2018-06-01,961,161,,,true
SAGEPAY,usa,1,1.0,2018-06-01,945,14,,,true
SAGEPAY,aus,1,,2018-06-01,859,159,,,false
SAGEPAY,usa,1,,2018-06-01,728,250,56,,false
SAGEPAY,usa,1,1.0,2018-06-01,726,48,,,true
SAGEPAY,svk,1,1.0,2018-06-01,689,94,,,true
SAGEPAY,usa,1,1.0,2018-06-01,615,6,,,true
SAGEPAY,usa,6,1.0,2018-06-01,426,432,,,true
SAGEPAY,gbr,6,1.0,2018-06-01,161,197,50,16,false
PAYPAL,usa,1,1.0,2018-06-01,892,393,,10,true
SAGEPAY,usa,1,1.0,2018-06-01,879,272,,,true
PAYPAL,nga,1,,2018-06-01,642,1403,,5,true
SAGEPAY,mex,1,1.0,2018-06-01,593,101,,,true
SAGEPAY,ind,1,1.0,2018-06-01,504,104,,,true
SAGEPAY,usa,6,1.0,2018-06-01,468,,,,true
SAGEPAY,gbr,12,1.0,2018-06-01,245,9,,,false
SAGEPAY,can,6,1.0,2018-06-01,227,454,,,false
SAGEPAY,usa,1,1.0,2018-06-01,62,199,75,,true
SAGEPAY,ind,1,1.0,2018-02-01,791,89,,,true
SAGEPAY,usa,1,1.0,2018-02-01,769,180,,,true
PAYPAL,nzl,1,1.0,2018-02-01,706,35,,,true
SAGEPAY,nld,1,,2018-02-01,666,438,,,true
SAGEPAY,aus,1,1.0,2018-02-01,610,15,,,true
SAGEPAY,rou,1,1.0,2018-02-01,601,35,,,true
SAGEPAY,usa,6,1.0,2018-02-01,224,210,23,,false
